cache_key,found,query,track_name,artist_name,collection_name,preview_url,artwork_url,track_view_url,source
asan ka na ba::zack tabudlo,True,Asan Ka Na Ba Zack Tabudlo Asan Ka Na Ba,Asan Ka Na Ba,Zack Tabudlo,Asan Ka Na Ba - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/cf/be/4c/cfbe4c0a-cb6c-4ed3-c7ac-b0ef80d90014/mzaf_9366519993627105075.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/24/2d/82/242d821a-083a-424c-8a66-a62938d791fb/22UMGIM27042.rgb.jpg/600x600bb.jpg,https://music.apple.com/us/album/asan-ka-na-ba/1614444268?i=1614444270&uo=4,itunes
atravesando todo limite::hermetica,False,Atravesando Todo Limite Hermetica Acido Argentino,,,,,,,itunes
atr茅vete-te-te::calle 13,False,Atr茅vete-Te-Te Calle 13 Calle 13 (Explicit Version),,,,,,,itunes
ave de paso::charlo,False,Ave de Paso Charlo Oro y Plata,,,,,,,itunes
avril 14th::aphex twin,True,Avril 14th Aphex Twin Drukqs,Avril 14th,Aphex Twin,Drukqs,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/13/09/1f/13091fd5-ef8e-a494-5c36-61a133cfdc19/mzaf_1097252554933139566.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/40/7f/bc/407fbccc-1361-4425-972b-0d60018a752f/mzi.vbkjoksk.jpg/600x600bb.jpg,https://music.apple.com/us/album/avril-14th/282559693?i=282559791&uo=4,itunes
b61::aoife o'donovan,False,B61 Aoife O'Donovan B61,,,,,,,itunes
baby's got a temper - main mix::the prodigy,False,Baby's Got a Temper - Main Mix The Prodigy Baby's Got a Temper,,,,,,,itunes
"bahama breeze::sarah, the illstrumentalist",False,"Bahama Breeze Sarah, the Illstrumentalist Discover the World Vol. 1",,,,,,,itunes
balada para un loco::roberto goyeneche astor piazzolla,False,Balada para un Loco Roberto Goyeneche Astor Piazzolla Roberto Goyeneche - RCA Victor 100 A帽os,,,,,,,itunes
balan莽a o celtinha::jap茫ozin,False,Balan莽a o Celtinha Jap茫ozin Brabo dos Pared玫es,,,,,,,itunes
baldosa floja::juan d'arienzo mario bustos jorge valdez,False,Baldosa floja Juan D'Arienzo Mario Bustos Jorge Valdez Tango Classics 084: Milonga del recuerdo,,,,,,,itunes
balls to the wall::accept,False,Balls to the Wall Accept Balls To The Wall,,,,,,,itunes
